time,evt_type,go,brake_rt,sec_rt,sdlp1,sdlp2,segnum,pathnum,on_exit
907.68300,3,1,nan,1.02000,0.01100,0.11500,101,2,False
915.29400,1,0,0.73900,nan,0.01700,0.04300,102,2,False
923.20600,3,0,1.27400,nan,0.05900,0.03700,103,2,False
929.41700,1,0,0.58900,nan,0.03200,0.01800,104,2,False
936.62900,3,1,0.96800,0.92000,0.00400,0.03700,104,2,False
943.24200,3,1,1.15700,1.20500,0.18800,0.03600,105,2,False
950.55700,2,1,nan,0.96900,0.07400,0.08200,129,2,False
956.77100,3,1,0.86300,0.86300,0.02300,0.01500,129,2,False
963.58700,2,1,nan,0.99100,0.02900,0.08400,130,12,False
971.00100,3,1,0.86600,0.86600,0.02200,0.18600,106,12,False
978.91300,3,0,1.08400,nan,0.27400,0.06500,107,12,False
986.52600,3,1,0.84600,0.92100,0.03900,0.08400,108,12,False
993.73900,2,0,nan,nan,0.13200,0.14800,109,12,False
1000.25400,1,0,0.64200,nan,0.04900,0.23900,109,12,False
1007.07000,2,0,nan,nan,0.10900,0.05700,110,12,False
1014.48400,3,0,0.67000,nan,0.01600,0.08300,111,12,False
1021.99600,3,0,1.02100,nan,0.08100,0.04000,112,12,False
1029.50700,3,0,1.03600,nan,0.05600,0.04000,0,0,False
1036.32100,3,1,1.21900,1.37600,0.01700,0.07100,12,0,False
1043.73500,2,0,nan,nan,0.05500,0.05700,12,0,False
1051.24700,1,0,0.76400,nan,0.01400,0.01700,12,0,False
1058.86300,1,0,0.83400,nan,0.01700,0.02100,2,0,False
1066.77600,3,1,1.09800,1.19400,0.05600,0.19800,3,16,False
1073.58700,3,0,1.30800,nan,0.02000,0.03700,7,16,False
1080.20000,1,0,1.13200,nan,0.05800,0.04000,7,16,False
1086.81300,1,0,0.72500,nan,0.00700,0.00800,7,16,False
1093.92600,1,0,0.71500,nan,0.05600,0.07400,14,16,False
1101.43800,3,0,0.99300,nan,0.02600,0.02400,14,16,False
1109.14900,2,0,nan,nan,0.04100,0.02200,20,16,False
1115.86000,2,1,nan,1.42200,0.02100,0.03900,19,20,False
1122.47600,2,1,nan,0.97700,0.03800,0.01800,19,20,False
1128.49200,3,1,0.52400,1.07700,0.01200,0.11200,93,20,False
1136.30800,2,1,nan,1.08100,0.04000,0.02200,93,20,False
1143.12300,1,0,0.70300,nan,0.03300,0.16900,96,20,False
1149.93700,1,0,0.90800,nan,0.06100,0.02900,25,20,False
1156.34900,1,0,0.82200,nan,0.02900,0.03200,37,20,False
1163.26200,2,0,nan,nan,0.04700,0.05300,37,20,False
1170.17500,3,1,0.93000,0.86600,0.06600,0.04800,37,20,False
1176.58900,1,0,1.47300,nan,0.03000,0.05700,37,20,False
1183.80400,2,0,nan,nan,0.06500,0.03500,37,20,False
1190.11600,1,0,0.68000,nan,0.01900,0.05100,27,20,False
1196.42900,1,0,0.64400,nan,0.06900,0.04800,28,22,False
1202.84500,2,0,nan,nan,0.06800,0.00600,32,22,False
1210.25900,1,0,0.76200,nan,0.00600,0.07600,32,22,False
1217.27200,2,1,nan,1.38000,0.02800,0.02300,39,22,False
1223.88700,1,0,0.59600,nan,0.00600,0.03000,39,22,False
1230.30000,2,0,nan,nan,0.05700,0.04400,46,22,False
1238.11300,1,0,0.63300,nan,0.00900,0.01300,45,22,False
1245.02700,1,0,0.67100,nan,0.04500,0.04400,44,26,False
1251.74100,1,0,0.69700,nan,0.05500,0.08900,44,26,False
1258.85700,1,0,0.71300,nan,0.00900,0.13600,94,26,False
1266.17000,1,0,0.76100,nan,0.00400,0.11300,94,26,False
1272.88100,1,0,0.61700,nan,0.00700,0.06600,97,26,False
1278.89700,1,0,0.64800,nan,0.02600,0.07400,50,26,False
1285.60800,2,0,nan,nan,0.04200,0.00500,62,26,False
1292.62500,3,0,1.09800,nan,0.08800,0.07100,62,26,False
1299.53900,2,0,nan,nan,0.08400,0.01700,62,26,False
1306.65200,3,0,1.08600,nan,0.11800,0.10400,62,26,False
