campagna,MedianWeight,MeanWeight,TemperatureC,DOmgL,pH,Year,Monthnumber,Week,Dayofmonth,Hour,SpConducibilitymicroScm,DOoutmgLTARGET,pHout,ConducibilitymicroScm,DOsat,DOlocal,SpConducibilitymicroScmOUT,Tagliag,Biomassakg,quantomangimekg,timestamped,y_test,predicted
512,2,63.5,65.17857142857142,3.637,11.69,7.85,2019,12,50,11,9,176.33684640522856,11.13,7.81,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,94.09,7.158,50.0,2019.0_50.0_11.0_9.0,11.13,10.915409
32,2,54.0,93.33333333333331,7.836,10.22,7.49,2019,11,46,16,11,176.33684640522856,9.06,7.36,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.895,0.0,2019.0_46.0_16.0_11.0,9.06,10.557185
603,2,100.0,98.33333333333331,6.168,10.33,7.71,2019,12,51,17,2,176.33684640522856,9.79,7.71,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,64.16,4390.0,0.0,2019.0_51.0_17.0_2.0,9.79,10.641051
241,2,67.0,75.99999999999999,8.211,11.44,7.56,2019,11,48,26,11,176.33684640522856,10.43,7.49,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,51.52,5024.0,0.0,2019.0_48.0_26.0_11.0,10.43,10.991971
459,2,59.5,59.5,4.997,10.46,7.85,2019,12,49,7,0,176.33684640522856,10.79,7.81,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,58.55,4027.0,0.0,2019.0_49.0_7.0_0.0,10.790001,10.750601
306,2,67.0,66.37037037037037,7.908,12.25,7.62,2019,11,48,29,10,176.33684640522856,10.87,7.43,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,88.73,6.565,0.0,2019.0_48.0_29.0_10.0,10.87,11.078035
345,2,66.0,71.875,7.238,11.77,7.61,2019,12,48,1,11,176.33684640522856,10.14,7.46,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,53.77,5216.0,0.0,2019.0_48.0_1.0_11.0,10.14,10.838054
53,2,63.0,63.0,7.718,11.31,7.56,2019,11,47,18,4,176.33684640522856,10.54,7.46,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.99,4631.0,0.0,2019.0_47.0_18.0_4.0,10.54,10.83849
93,2,66.0,66.0,8.268,11.21,7.54,2019,11,47,20,7,176.33684640522856,10.32,7.48,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,48.15,4731.0,0.0,2019.0_47.0_20.0_7.0,10.32,10.593112
2574,3,257.0,264.15151515151524,14.554,13.9,8.05,2020,7,30,23,8,173.8,12.35,7.69,141.2,122.7,122.7,174.3,310.29,11390.0,0.0,2020.0_30.0_23.0_8.0,12.35,11.2349205
3763,3,259.0,256.8113207547169,14.536,12.28,8.2,2020,8,35,25,2,177.7,11.02,7.86,143.6,109.2,109.2,177.8,318.27,9641.0,0.0,2020.0_35.0_25.0_2.0,11.02,12.138907
3348,3,400.0,400.0,16.282,11.06,7.96,2020,8,31,1,5,169.5,9.98,7.61,146.0,103.3,103.3,172.3,310.29,10843.0,0.0,2020.0_31.0_1.0_5.0,9.98,9.661539
2290,3,202.0,219.19047619047615,16.66,13.48,7.8,2020,7,30,21,1,181.2,11.56,7.61,154.1,120.1,120.1,181.2,310.29,11432.0,0.0,2020.0_30.0_21.0_1.0,11.56,11.845498
4057,3,304.0,292.43999999999994,15.513,11.53,8.21,2020,8,35,28,4,180.5,9.51,7.76,148.9,95.9,95.9,180.9,327.23,9689.0,0.0,2020.0_35.0_28.0_4.0,9.51,10.980027
1095,3,277.0,301.875,16.169,13.7,7.79,2020,7,28,9,0,176.5,11.13,7.57,150.8,115.1,115.1,178.2,310.29,11990.0,0.0,2020.0_28.0_9.0_0.0,11.13,11.286028
4355,3,290.0,291.35211267605644,12.166,12.99,8.4,2020,9,36,2,11,196.8,11.12,7.91,150.1,103.8,103.8,198.4,329.97,9637.0,0.0,2020.0_36.0_2.0_11.0,11.12,11.430888
1480,3,312.0,308.19047619047615,15.256,13.68,7.83,2020,7,29,13,1,175.8,11.58,7.63,144.6,116.6,116.6,175.8,310.29,11758.0,0.0,2020.0_29.0_13.0_1.0,11.58,11.957052
2993,3,313.0,310.9602649006623,15.112,12.36,8.18,2020,7,31,28,10,175.7,11.59,7.86,143.3,116.2,116.2,175.2,310.29,10962.0,0.0,2020.0_31.0_28.0_10.0,11.589999,11.538141
2870,3,301.0,289.7083333333333,14.767,11.88,7.93,2020,7,31,27,7,175.6,10.5,7.64,143.6,104.6,104.6,176.6,310.29,11017.0,0.0,2020.0_31.0_27.0_7.0,10.5,11.042863
